,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
72,2019-07-25,17.391653299349056,-18.565555020790896,62.03501762469716,17.391653299349056,17.391653299349056,3.3422742699628256,3.3422742699628256,3.3422742699628256,-0.6361153161220224,-0.6361153161220224,-0.6361153161220224,3.9783895860848486,3.9783895860848486,3.9783895860848486,0.0,0.0,0.0,20.73392756931188
73,2019-07-26,17.400805667603766,-18.841377875155683,59.211304191012594,17.400805667603766,17.400805667603766,2.903411395297146,2.903411395297146,2.903411395297146,-1.1376209723656836,-1.1376209723656836,-1.1376209723656836,4.0410323676628295,4.0410323676628295,4.0410323676628295,0.0,0.0,0.0,20.30421706290091
74,2019-07-29,17.4282627723679,-15.859609529288795,63.96606976983037,17.4282627723679,17.4282627723679,4.9371928475674105,4.9371928475674105,4.9371928475674105,0.6688321581628748,0.6688321581628748,0.6688321581628748,4.268360689404535,4.268360689404535,4.268360689404535,0.0,0.0,0.0,22.36545561993531
75,2019-07-30,17.437415140622612,-17.897656778645462,63.80584244043082,17.437415140622612,17.437415140622612,4.075112450614266,4.075112450614266,4.075112450614266,-0.29383874748849137,-0.29383874748849137,-0.29383874748849137,4.3689511981027565,4.3689511981027565,4.3689511981027565,0.0,0.0,0.0,21.51252759123688
76,2019-07-31,17.446567508877322,-16.24131247599219,61.69742520311277,17.446567508877322,17.446567508877322,4.485138571950425,4.485138571950425,4.485138571950425,-0.0001340607290455668,-0.0001340607290455668,-0.0001340607290455668,4.485272632679471,4.485272632679471,4.485272632679471,0.0,0.0,0.0,21.931706080827748
77,2019-08-01,17.455719877132033,-20.783713579213174,61.58212658633043,17.455719877132033,17.455719877132033,3.981637074721628,3.981637074721628,3.981637074721628,-0.63611531611943,-0.63611531611943,-0.63611531611943,4.617752390841058,4.617752390841058,4.617752390841058,0.0,0.0,0.0,21.437356951853662
78,2019-08-02,17.464872245386744,-19.435574857054192,61.82923475240831,17.464872245386744,17.464872245386744,3.6281910931926102,3.6281910931926102,3.6281910931926102,-1.1376209723656456,-1.1376209723656456,-1.1376209723656456,4.765812065558256,4.765812065558256,4.765812065558256,0.0,0.0,0.0,21.093063338579356
79,2019-08-05,17.49232935015088,-19.69387153224266,64.92075660018229,17.49232935015088,17.49232935015088,5.9533653435311376,5.9533653435311376,5.9533653435311376,0.668832158163213,0.668832158163213,0.668832158163213,5.284533185367924,5.284533185367924,5.284533185367924,0.0,0.0,0.0,23.445694693682015
80,2019-08-06,17.50148171840559,-14.372028951399757,66.06411117834499,17.50148171840559,17.50148171840559,5.178705321918481,5.178705321918481,5.178705321918481,-0.2938387474901366,-0.2938387474901366,-0.2938387474901366,5.472544069408618,5.472544069408618,5.472544069408618,0.0,0.0,0.0,22.68018704032407
81,2019-08-07,17.510973046085223,-15.002413137208059,65.13401879728707,17.510973046085223,17.510973046085223,5.6619848469297605,5.6619848469297605,5.6619848469297605,-0.0001340607298564728,-0.0001340607298564728,-0.0001340607298564728,5.662118907659616,5.662118907659616,5.662118907659616,0.0,0.0,0.0,23.17295789301498
82,2019-08-08,17.520464373764856,-17.893367653118744,65.3053094268124,17.520464373764856,17.520464373764856,5.213289799603043,5.213289799603043,5.213289799603043,-0.6361153161204167,-0.6361153161204167,-0.6361153161204167,5.849405115723459,5.849405115723459,5.849405115723459,0.0,0.0,0.0,22.7337541733679
83,2019-08-09,17.529955701444493,-17.05258304084939,63.005433787308945,17.529955701444493,17.529955701444493,4.893045277799072,4.893045277799072,4.893045277799072,-1.137620972364959,-1.137620972364959,-1.137620972364959,6.030666250164031,6.030666250164031,6.030666250164031,0.0,0.0,0.0,22.423000979243565
